text,stance
MENTION تره فعلا مرينا بهالتجربه حاشتنا كورونا والمطعمين ما حسينا بشي بس اللي ما تطعموا حالتهم صارت جداا سيئه واضطروا يدخلون المستشفي وصارت حالتين وفاة عندنا والسبب رفضهم لاخذ تطعيم,Favor
يكفي سنتين  راحت مع رعب اللي اسمه مرض كورونا  نبي نرجع طبيعين لا للقاح لا للحظر الجزئي والكلي  👍 نعم للسفر بدون حجر ولا مسحة ولا تطعيم 👍 #الحظر_الكلي,Against
في التأني السلامة   و في العجلة الندامة   #لقاح_فايزر  #تطعيم_كورونا #تم_التطعيم  💉💉💉💉,None
🔴مـن الخـ📬ـاص🇸🇦   السلام عليكم ورحمة الله وبركاته   لقاح فايزر في اي مركز تطعيم بالمدينه حالياً؟؟؟  #المدينة_المنورة,None
#لا_للتطعيم_الاجباري تطعيم جرعة اولى وثانيه والثالثة في الطريق ولحد الحين مصدقين انه لقاح شيئ غريب #حقيقه,Against
 الشعب فرض رايه 👏🏼👏🏼  No mask No lockdown  No vaccine   كانوا ضد التطعيم الإجباري و ضد تطعيم الأطفال وطالبوا بالحرية و إنهاء مسرحية كورونا..,Against
🇸🇦 مـﻧـــ الخاصــ 📩  تطعيم كورونا في جامعة الملك عبدالعزيز متى اوقاتهم في شهر رمضان ؟,None
من غير تطعيم ضد كورونا سنكون افضل,Against
MENTION MENTION تدري ان في ناس يتكلمون ويقولون تطعيم كورونا عشان بيل غيتس يتحكم فيك من كمبيوتره في البيت ؟؟؟,Favor
الحمد لله يارب تم تطعيم الوالد والوالده والاخوان بلقاح كورونا اليوم العائله المحصنه 😎,Favor
MENTION ﮼اكيد أكيد 🙏🏼 نثق في وزارة الصحة وأخذت الجرعة التنشيطية الثالثة ومع وزارة الصحة دائمًا لثقتي الكبيرة بها,Favor
ما ندري منو نصدق 🤔 المهم أنا أرفض #تطعيم_كورونا #لقاح_فيروس_كورونا  والله خير حافظا وهو أرحم الراحمين URL,Against
📩  تطعيم الجرعه الثانيه كورونا وين احصلها ؟,None
   سنة التجارب الطبية أكبر تجربة طبية في التاريخ ويقصد بذلك تطعيم كورونا الذي قد يتم اعطاؤه لملايين البشر,None
ناس ليش خيفانيين من تطعيم نص لكورة الأرضية تطعمت توكلو على الله وخذو لقاح #الموتمر_الصحفي_للجنه_العليا,Favor
 هل هؤلاء الاطفال  متطعمين من كورونا    او خذوا تطعيم ملوث,Against
  وذكرت مثال بريطانيا وعودتها للحياة بعد تطعيم اكثر من ٢٢ مليون شخص لان كوّن المناعة المجتمعية حتى الناس تتشجع على التطعيم واخيرا هل انت افهم واعرف من المختصين ووزارة الصحة البريطانية والكويتية مايصير فاخذ معلوماتك من المصادر العلم,Favor
شباب هي جرعة الbooster بتاعت تطعيم كورونا هترقدني في السرير يومين زي المرة اللي فاتت؟,None
  اللقاح لا يقي من الإصابة بالمرض ناس كتير جالها كورونا بعد اللقاح. عموما اللقاح اختياري حتى الآن وتوقيعك على ورقة بتحملك المسؤولية يعني اللقاح في طور التجريب لما يبقى الزامي والدول تتحمل مسؤوليته هبقى آخده زي اي تطعيم الزامي آخر,Against
MENTION MENTION روح خذ الجرعة التنشيطية و خل عنك الغير ملقح  لأنك إذا تحصنت تحمي الغير ملقح كذلك  فخليك بطل.,Favor
التطعيم امر واجب و اي حد بيفكر في نظرية مؤامرة في رأيي انه يعتبر قتل مع سبق الاسرار و الترصد بفكره للبشر إللي بتقرا كلامه #تطعيم_كورونا,Favor
واخيراااااا #تطعيم_كورونا ,Favor
MENTION ما بيسجنوا الشعب كله ✋🏻 اللقاحات تجريبة والدليل تحديث الاعراض الجانبية كل فترة على موقع فايزر وغيرها   والي مو منتبه للموضوع غبي بامتياز (أطفالنا ما بنعطيهم تطعيم كورونا)مرت سنتين والحمدلله هم بصحتهم وعافيتهم    القرار قرارنا احنا المسؤولين عنهم   يوصلوا ل ١٨ ولهم حرية الاختيار,Against
#لا_للتطعيم_الاجباري35  عندي سؤال للي مع التطعيم واللي ضد التطعيم .. وسؤال محيرني صراحة. ليش الشخص اللي حاشته كورونا مرتين وتشافى منها والأعراض أيضا أصبحت  عادية لاتذكر ..ليش مو معفي من التطعيم .. يعني اصابتين وشفاء تام ومناعة ربانية ماتكفي لازم تطعيم ! اللي يملك جواب مقنع يتفضل,Against
 كل الدراسات والكلام ذا مقدمه على شان يحطون تطعيم الأطفال ضد كورونا إجباري  معروفه خطتهم بس والله يبطون عظم ما اعطي أطفالي لقاح كورونا,Against
MENTION MENTION طيب انا جاني مرض كورونا بدون اعراض وكان خفيف جدا  يعني قد جتني زكمة اقوى منه.  واتعافبت منه وصار عندي مناعة  ليش أجبر على اخذ اللقاح؟ وانا ما اعمري اخذت تطعيم انفلونزا او بنادول في حياتي,Against
ما احلى العودة الى الحياة الطبيعية تدريجيا !  مع قرار خلع الكمامات في الاماكن المفتوحة بعد معطيات ايجابية عن مواجهة وباء كورونا وانتهاء تطعيم الغالبية العظمى من مواطني اسرائيل. نتمنى لكم وللعالم اجمع وافر الصحة ودمتم سالمين.  رمضان كريم  ايها الاخوة ,Favor
تم تطعيم الجرعة الاولى من لقاح pfizer اليوم . شكراً على جهودكم بالتوعية و الله يكثر من امثالكم و يعطيكم العافية .    ,Favor
 وش السالفة تطعيم و طعمنا ، و الحالات بارتفاع .. #كورونا مطولة 😷,Against
  لقاح فايزر و مودرنا امينة جدا للحوامل.  الشهر القادم سيتم تطعيم الحوامل في بريطانيا. . لقاحات امينة و فعالة,Favor
 اخت نداء الهند ٣ ألاف موتى يوميا من كورونا و نفس الشي او اكثر في البرازيل يموتون يوميا و الاصابات تتعدى ٨٠ الف برازيلي النظام الصحي عندهم و في الهند انهار تماما لم يعد لديهم أكسجين و انتي تخرعين الناس من تطعيم مفيد ١٠٠ ٪ حرام عليج و خزي و ع,Favor
 طال عمرك مسجلين من ٤ شهور ما جانا دور الخين حاشتنا كورونا قبل ١٠ ايام يعني لازم نعيد التسجيل عقب ٣ شهور. تطعيم طل,Against
الحمدلله اليوم خذيت الجرعه الثانيه 🙏🏻♥️ 🇰🇼  طعمو عشان تشوفون تذكره صجيه بدال كرت التطعيم 😂 #تطعيم_كورونا  شكراً  🙏🏻🇰🇼 ,Favor
الحمدلله على نعمة الكويت ..♥️  #تطعيم_كورونا,Favor
 هل سبق وزرتي الهند وخاصه المناطق الفقيرة؟ هذا متوقع لدولة كبيره تعتبر قاره ولا ينتقع الشعب من خيراتها بالاخير هذا احد نتائج التطعيم هو ارتفاع معدل الاصابات حيث انهم قبل فتره اعلنوا عن بدء اكبر حملة تطعيم للعالم وهذه النتيجة كورونا اصابت الاغلبي,Against
#تطعيم_كورونا انتم بكامل قواكم العقليه تطعمون!!!! يمكن بعد جم سنه تتحولون زومبي👩🏻‍🦯,Against
الحمد لله قبل ثلاث شهور الاهل اخذوا لي موعد تطعيم ورحت للموعد متاخر و كان المكان مغلق  احمد الله اني تاخرت  تبين ان حدسي كان صحيح  و ان التطعيم مقلب  والحين يستحيل اطعم  #لا_للتطعيم_الاجباري  #كورونا,Against
طبيب يحث أولياء الأمور على سرعة تطعيم الأطفال من سن 5 سنوات فأعلى بلقاح كورونا لمنع إصابتهم بالمرض   مؤكداً أن اللقاحات هي خط الدفاع بعد الله من الأمراض سابقاً ولاحقاً .   URL,Favor
MENTION MENTION كنت جاهلة وصفيرة وما اعرف خطورة اللقاحات والله يغفر لي والحين عرفت الحمدلله فقررت اني ما اخذ تطعيم كورونا انا حرة 😅,Against
  التطعيم فيك فيك لانه كورونا مو مثل اي انفلونزا لو انها انفلونزا عاديه اقولك اسحب على التطعيم مثل تطعيم الانفلونزا العاديه اما هالمرض الله يكفينا الشر والله غير والله يكتب فيه الخير لنا يارب,Against
cant wait  لنرمي كلنا سوا بنفس اللحظة كماماتنا لفوق بالهوا لما يتطعم ال٧٠%  #كورونا #كورونا_لبنان #تطعيم_كورونا #لقاح_فايزر URL,Favor
الحمدلله الذي بنعمته تتم الصالحات ..  اخيرا طعمت 🤣                                              #تطعيم_كورونا ,Favor
  سهله هذي بكرا قدام الكاميرات ياخذون ابرة فيتامين او تطعيم انفلونزا ولقاح كورونا لها ناسها واهلها الطيبيين الحليلين,Against
2️⃣ إنخفض معدل الدخول للمستشفى بسبب #كورونا بهذه النسب: ٩١٪ بعد ٤ أسابيع من تطعيم فايزر.  ٨٨٪ بعد ٤ أسابيع من تطعيم أسترازينكا.  و فالكم طيب.   ,Favor
 تم اخذا القاح الاولي والثانيه الحمدلله لم يحصل ليه اي شي ولا اعراض مع انني خالطت كم شخص مصاب بكورونا بفضل الله ثم اخذا  تطعيم لقاح كورونا لم تنتقل لي العدوى  انصح لمن لم يتطعم اخذا اللقاح في اسرع وقت,Favor
"للعلم:  - تم تطعيم اكثر من مليون شخص حتى الان في الولايات المتحدة ضد مرض كوفيد ١٩.  عدد الوفيات ""بسبب التطعيم"" : صفر !  - عدد الوفيات  بسبب مرض كوفيد ١٩ : عشرات الآلاف !  #تطعيم  #كورونا #كوفيد_19",Favor
الحين بيبدأ تطعيم الاطفال مع أنه مافيه اي وفيات منهم لحد الحين بسبب كورونا تابعو بعد التطعيم كيف بتزيد الحالات وقولو امن وفعال بعدين,Against
لم يتبقى من الزمن إلا أقل من شهرين على حرمانك من دخول الأسواق التجارية لمن لم يتلقى الجرعة الثالثة !؟ بفضل الله حصلت على تطعيم كورونا الجرعة الثالثة قبل حوالي أسبوعين و كان الإقبال جيداً لكن هناك الكثيرين الذين يعترضون على هذه الجرعة بناءً على أوهام كنظرية المؤامرة !؟ تطعم تسلم ؟ URL,Favor
#لا_للتطعيم_الاجباري #لا_للجرعه_الثالثه #الجرعة_التنشيطية  جرعة الموت #كفاية URL,Against
 الله يعز دولتنا ويحفظ ولاة امرنا حجزت تطعيم لقاح فايزر ورحت تطعمت ولله الحمد بل اعرف ان دولتنا هي الدوله الوحيده في العالم اللي تأمن علاجات وادويه لبعض الامراض تصل لنص مليون وتعطيها للمواطن بالمجان اللهم لك الحمد حتى ترضى,Favor
طبيب ايطالي يكشف اكاذيب جائحة كورونا و اهدافها الخبيثة  لاجل تطعيم الناس لاجل تخفيض عدد السكان   URL,Against
 خلصنا تطعيم يالشيخ وأخذت السينوفارم لكن سجلت حق جرعة تنشيطية من لقاح فايزر ... وربي يعطينا وإياكم الصحة والعافية,Favor
MENTION MENTION مافيه تطعيم بالعالم يحمي ١٠٠٪ ولا يقوله مسلم  كل شي بأمر الله  لكن كورونا وكل التطعيمات تعطيك حمايه بنسبة كبيرة وتقلل نسبة المخاطر والاصابة هذا كفيل اننا نتجه للتطعيم  وتفعل بالأسباب انا طعمت بالانلفونزا وأصابني لكن خفيفة هنا العبرة هل احارب التطعيم؟ واقول كذب,Favor
بيان الجمعية الأمريكية لطب الإنجاب بأمان تطعيم كورونا في السيدات الحوامل والسيدات اللاتي يخططن للحمل. ,Favor
#لا_للتطعيم_الاجباري52 الأطفال ما يضرهم كورونا بيقولك ينقلونه للكبار طيب الكبار مطعمين أجل وش فايدة تطعيم الأطفال!,Against
 فعلاً نحتاج توضيح  مو معقول نسبة الشفاء من كورونا عالية جداً بدون تطعيم واطعم الشعب كله,None
 كل الأشخاص من عائلتي ومن معارفي ماتوا في المستشفى بسبب كورونا ما كانو ملقحين ولا أخدو اي تطعيم  ..🤷‍♀️,Favor
أخذت اليوم الجرعة الأولى من لقاح #فايزر في مركز تطعيم #COVID19 بالحرس الوطني ماشاء الله تبارك الله تنظيم خُرافي وإمكانيات جبارة.  ❤️❤️❤️ ,Favor
#خذ_الخطوه_خذ_اللقاح للقضاء على فيروس كورونا. كوفيد-19 . الحمدلله الدولة المملكة العربية السعودية حفظها الله وفرت اللقاح مجانا و جندت الممارسين الصحيين في587 مركز تطعيم بكافة المناطق و المحافظات و المراكز .,Favor
 المشكله ان تطعيم كورونا راح يستمر دكتور  وراح يتم الاجبار على جميع الجرعات من خلال ربطها بحقوق الناس الطبيعيه!  اذا هالشي طبيعي ..!!!!  فالله المستعان وحسبنا الله ونعم الوكيل  #لن_نخضع_والله_خير_حافظا,Against
MENTION 🤨يامسلم من يوم الله خلقنا واحنا نتطعم ولا ندري جات على  تطعيم كورونا روح خذ التطعيم وانتا ساكت 🤣🤪🏃🏽‍♀️🏃🏽‍♀️,Favor
  الحمدلله فالسعوديه شارفنا على تطعيم ٥٠ بالميه من الشعب وانتم فالكويت الله يعينكم على تحورات كورونا لين تقتنعون,Favor
 هذا طلبي الوحيد ولكن مساعدة سيادتك يارب يسعد قلبك ويهنيكي إذا كان صورة جواز السفر وشهادة تطعيم فيروس كورونا يا ليت تلبية هذه الأمنية رقم 01094746990,None
أخدت تطعيم #كورونا وشجعت كل اللي أعرفهم ياخدوه بس أنا ضد شغل الحكومات القذر في حبس الشعوب والحد من حرية تحركهم بل ومراقبتهم. صديق مقيم في أستراليا وصل #مصر بعد حبس سنتين وشوية تقريبا لإن القارة قفلت علي نفسها تماما! سيناريو مريب ماكنتش حأصدقه لو إتعمل فيلم.,Favor
وبعد الجرعة التنشيطية (الثالثة)  راح يقولون حالات دخول العناية والوفاة زادت عليكم بالرابعة  وتستمر التجارب   #لا_للتطعيم_الاجباري100 #بالتطعيم_نقدر نقزرها عليك URL,Against
شكرا لحكومتنا الرشيده ووزاره الصحه علي الجهود المبذوله للحصول علي تطعيم فايروس كورونا ,Favor
MENTION اي غصب حالك حال خلق لله   بعدين تطعيم ماراح يضرك يا محور الكون طعمي   موب جايك الا العافية هو شرط اساسي لئن كورونا فايرس ممكن يجيك مرة ثانية وثالثة محد يقدر يقول ١٠٠٪ مناعتك !! سواءً با اصابة  او بدون اصابة وطعمتي الامور سهالات لاحد يعقدها !.,Favor
  وكل مازاد عدد توزيع التطعيمات على السكان  ازدادت اعداد الاصابات   ولنا في اكثر دولتين تم تطعيم سكانهم  1️⃣ الكيان الصهيوني  2️⃣الامارات   وهم الان في اعلى ارقام اصابات وصلوها منذ بدأ كورونا حتى وصول اللقاح,Against
 التركيز فقط على لقاح اكسفورد لانه يباع بسعر التكلفه والكل يحاربه، الملايين خذوا تطعيم استرازينيكا اكسفورد وانا واحد منهم، الي توفوا هذول كان يومهم والاسباب تلقى عندهم مشاكل صحية قبل اللقاح، الالاف يموتون يوميا بالعالم بالجلطات بدون اي تطعيم.,Favor
تم بحمد الله أخذ الجرعة الأولى من #تطعيم_كورونا ,Favor
  عليميها بالمنزل لأنها لو أخذت تطعيم كورونا وصادفتها الجرعة 30 فتلك الجرعة قاتلة ولن نستطيع الاعتماد على الاطباء لأنهم يروجون للقاحات ولا يهتمون بنا ان عيشنا او متنا بعد اللقاح,Against
تطعيم كورونا البي بيعمل جلطة وبقتل في يومين د بلقاه وين؟,None
MENTION MENTION خلاصة الخبر خذ الجرعه الثالثه التنشيطيه وانت ساكت عشان نرجع لحياتنا الطبيعيه,Favor
24 April                                                              اخذنا تطعيم كورونا ولله الحمد 💉🩹,Favor
نحن نتعرض لحملة موافقة اجبارية ممنهجة😅 ماتلاحظون ان الموافقة على شروط الواتساب الجديدة نفس الموافقة على تطعيم 💉 ڤاكسين #كورونا الجديد😂  وافق على الشروط نخليك تكمل استخدام الواتساب وماتفقد كل معلوماتك  وافق على التطعيم نخليك تسافر وماتفقد كل شغلك الخارجي  احس القرار ماسوني🤭,Against
  او الخيار الامثل .. دعوه للتفكير  !! انك ما تاخذ اي تطعيم تجاري .. واذا حاشتك كورونا تشفى بنسبه 99.8% من جهاز المناعه اللي خالقه لك الله والحمدلله او يمكن تموت بنسبه اقل من نص الواحد %.. حسابيا احسن من 2.3% !! وصحيا افضل من دخول  ,Against
" #تطعيم_كورونا ماشاء الله على تنظيم واستعدادات تجعل الانسان فخوراً متذكراً دائماً عظمة هذا الوطن المعطاء شكرا وزارة الصحة على هذا العمل المتميز ""والغير مستغرب"" شكراً يابلادي على هذا العطاء المتميز🇸🇦🇸🇦🇸🇦",Favor
الحمد الله اخذت اول جرعة من تطعيم كورونا  شكراً جزيلاً للوزارة الصحة و جميع العاملين على المركز على حسن التنظيم و حفاوة الترحيب URL,Favor
و لكن مع الوقت و الثقة الأكبر فالعلم و مقارنة المزايا و العيوب، بدأ التطعيم يبقى الشئ السائد... نفس الموضوع بيحصل مع تطعيم كورونا و دا طبيعي، قلقك من شئ جديد عليك و عالعالم كله شئ طبيعي جداً و لكن اللقاح -أياً كان نوعه- هو مجرب، ممكن مش على نسبة كبيرة نظراً لضيق الوقت و لكنه مجرب,Favor
#لا_للتطعيم_الاجباري53 تطعيم مانبي نطعم و انا الحين فيني كورونا ولله الحمد صارلي ٨ ايام و حاشتني خفيف ليش نطعم اذا مناعتي افضل من بعض المطعمين ؟ URL,Against
MENTION انا مع التطعيم..الصحيح…  مو تطعيم اخذه ويقولون عادي تحوشك كورونا..!! ليش اخذه عيل ؟ اثنين من الربع ماخذين تطعيمتين وبعد ٤ شهور سدحتهم الكورونا اسبوعين بالفراش ولعنوا الساعه اللي طعموا فيها.,Against
دكتوري أخذ تطعيم كورونا .. وصار له أسبوع تعبان ومريض ما عطانا ولا محاضره .. كل يوم الصبح يدز لنا انه تعبان وحرارته مرتفعه وضغط الدم عنده نازل .. أنا حيييل متضايقه عليه .. يارب انك تشافيه وتعافيه يارب🙏🏻♥️,Against
الحمدلله   اليوم الثامن منذ إصابتي بفايروس #كورونا، وعلماً باني اخذت الجرعتين من لقاح #فايزر شهر يناير 2021 (تطعيم الصفوف الأولى).   ولله الحمد لم اعاني من أي اعراض فقط ان نتيجة الفحص اتت إيجابية.   اسال الله ان يشافي ويعافي جميع المسلمين  #نعم_للتطعيم,Favor
MENTION البدء بخطة الجرعة التنشيطية يجب ان تفعل حالاً لتجنب الموجة الثالثة  والبدء بأصحاب السن المتقدم والامراض المخفضة لجهاز المناعة سواء بسبب المرض او بسبب الأدوية,Favor
 انتقاخ الغدد ممكن يكون بسبب تطعيم كورونا كثير صاربهم وخذا فتره شهر حوله اكثر واختفى لحاله,Against
MENTION MENTION لماذا في عز جائحة كورونا لم نسمع بالتهاب عضلة القلب الا بعد ما تم تطعيم الناس؟!الكل يعرف و حتى وزارة الصحة صرحت ان كورونا ليس خطيرة ع الاطفال   ليس مبرر ان اطعم جميع الاطفال بمرض ليس خطير عليهم و اعرضهم لاعراض جانبية ممكن تؤدي الى وفاتهم و الملام في النهاية من اخذهم بيده للتطعيم,Against
جهود عظيمة لمكافحة جائحة #كورونا ، عدد الجرعات تجاوز ال ٨ مليون ( عدد الجرعات و ليس عدد الذين أخذوا التطعيم ،يعني عدد من أخذ التطعيم تقريباً ٤ مليون ) يعني نسبة تطعيم السكان بالمملكة تقريباً ١٣٪ 🇸🇦 ، و لتحقيق مناعة القطيع نحتاج لنسبة ٧٠٪ و أكثر ( ٦ أضعاف الرقم الحالي تقريباً ) ,Favor
"""لا تتسرعوا في تطعيم الأطفال ما دامت الصورة الكاملة غير واضحة. مرض فيروس كورونا لا يعرض الأطفال للخطر  والقاعدة الأولى في الطب هي 'first do not harm'",Against
 قرارات الدولة تحتمل الصواب و الخطأ ماهي نازلة من السماء تطعيم كورونا ما أثبت فعاليته و ثبتت أضراره كيف أُساوم فيه على حقي بالعيش؟,Against
وايدين اللي يخافون من تطعيم كورونا .. لماذا,Favor
 خلصت الشرايح الإلكترونية على المتطعمين فاضطروا ياخذون الشرايح اللي في سيرفرات برامج التواصل الاجتماعي عشان يكملون تطعيم الباقي لين يصنعون شرايح جديدة! ☹️ #مؤامره_كورونا #موامره  #موامره_كورونا,Against
MENTION جبل طارق ١٠٠٪ تطعيم والنتيجة انتشار كورونا واغلاق وحظر   ياوزارة الكذب والتدليس URL,Against
#متضرري_اللقاح   طيار الخطوط الجوية التجارية يصور تورم الدماغ ولا يمكنه الطيران بعد لقاح فايزر‼️  #لا_للتطعيم_الاجباري  #لا_تقول_ما_دريت  #الجرعة_الثالثة  #الجرعة_التنشيطية  #الحرية_الطبية URL,Against
 لسه عارفة خبر محزن  ٢ قرايبي ماتو بسبب كورونا وآخذين جرعتين تطعيم منهم واحدة شابة,Against
25 أبريل 2021م ١٣ رمضان١٤٤٢هـ  الحمدلله💉 الله يجعلها خير و وقايـة يارب♥️  شكراً قيادتنا الرشيدة شكراً لوزارة الصحة  لجامعة المجمعة حسن التنظيم وهذا الجهدالجبار🇸🇦💪🏻  ازال الله الغمة عن هذه الأمة ورفع البلاء وأدام على الجميع الصحة والعافية❤️ #تطعيم_كورونا ,Favor
 اذا انت مطعم وماخذ جرعاتك و ماخذ جرعة التعزيز  و حسب كلام الدكاترة و الخبراء و غيرهم ما عليك خوف من كورونا و متحوراتها . ايش خوفك مني اذا ما خذيت تطعيم . ؟؟؟,None
#تكاتف_الشعب_السعودي  ايها الامه،، امة محمد،، متى مارجعتم لله بتوبه خالصه رفع كورونا  بلا عقاقير ولا تطعيم .  ترى التوبه ماتكلف شئ التطعيم يكلف مليارات.,Against
الأولى تطعيم الثانيه تعزيز الثالثه تنشيط الرابعه اتوقع تكثيف   #لقاح_كورونا,None
انطلاق حملة تطعيم ثالثة ضد فيروس كورونا في الهند URL,None
MENTION MENTION MENTION جاوبي    ليش بعد تطعيم معظم سكان بريطانيا    تضاعفت حالات كورونا ؟,Against
بريطانيا تشتري 114 مليون من تطعيم فايزر وموديرنا للسنتين القادمتين مع إمكانية التعديل عليها بما يضمن مواجهة أي تحورات قادمة  #كورونا #أوميكرون,Favor
لا تاخذون اللقاح لانه بدأت أشعر أني ضفدع 🐸 وهذا يثبت أنها مؤامرة للسيطرة علينا من خلال شريحة يضعوها في اجاسمنا #لقاح_فايزر #لقاح_كورونا #تطعيم_كورونا #كوفيد_20 #كورونا_الجديد,Against
انا اشهد انه شخص من جماعتنا كبير في السن  مر عليه كورونا بسلام ثم تم حثه على التطعيم وكان غير متشجع  بعد ذلك اقتنع اخذ تطعيم ومات بعدها هذا من جماعتنا  لكن هل توجد اصلا شفافية بالناس التي تصاب بأعراض,Against
 اولا انا ما اخذتها برضاي كنت طفل  ثانيا تطعيمات الاطفال عينات ميتة  من الفايروس يعني اقل ضرر بكثير  تطعيم كورونا علاج جيني,Against
MENTION MENTION تطعيم كورونا يختلف عن باقي التطعيمات لانه علاج جيني تحت التجربه اذن احنا راح نكون  عينه تجربه اذا انتي مستعده تكونى ضمن العينه غيرك رافض,Against
 كل المرضى اللي ادخلتهم حاليا منهم صغار بالسن بالثلاثينات و حالتهم حرجه   وعند سؤالهم عن التطعيم كلهم اجابتهم واحده:  🛑 للاسف ما تطعمنا وتاخرنا🛑  ما زلنا نكرر تطعموا قبل فوات الاوان ☑️   #كوفيد_19 #تطعيم_كورونا ,Favor
MENTION نفس الموضوع في بيتنا اختي تأخر موعد تطعيمها والعائلة كلها ماخذ تطعيم    ياتها كورونا قوية واحنى مافينا اعراض كللللللللش اللهم لك الحمد,Favor
 اكبر كذبة بالتاريخ  انك تقول للناس ان في تطعيم ضد الفيروسات يجعلك محصن بالكاااامل     كل من روج تلك الكذبة  سيتحمل ذنب عذابات من صدقه  من الناس الفيروسات تتحور لايمكن ايجاد لقاح   لفيروس بشكل نهائي,Favor
 نركز على تطعيم الناس بدل الاغلاق وغيره لان قبل كذا صار اغلاق ولا تغير شي وثاني شي دام عندنا لقاح متوفر ليش ما نشدد في تطعيم الناس و اذا كانت الفئه المستهدفه ما تتجاوب نجاوزها و نبداء بتلقيح الجميع بكذا نتخلص من هذي القرارات الي غير مدروسه,Favor
طابور تطعيم كورونا بالكويت   شكراً حكومتنا الرشيدة 🇸🇦🇸🇦🇸🇦 ,Favor
قررت اني ماطعم تطعيم كورونا باذن الله  يعني انا اصلا جاني المرض وراح ونادرا انه يتكرر وعساه مايتكرر ان شاءالله  فما ابي اخذ اللقاح 🤭,Against
MENTION تطعيم لكل الناس لمرض نسبة الشفاء منه ٩٩% انت بالله كيف تحسبها فهمني ؟؟ الحين واحد مايضره كورونا اروح اعطيه لقاح يجيب له جلطه او قصور في عضلة القلب بالله اقتعني كيف انت مقتنع به ؟,Against
 الوسواس من تطعيم كورونا,None
     تطعيم كورونا ليس اجباري  تطعيم كورونا ليس اجباري  تطعيم كورونا ليس اجباري,None
MENTION أكره الناس اللي يتفلسفون بدون قراءة للموضوع سبب إمتناعنا عن التطعيم إن مضاعفاته قويه بسبب جزيئات الالمونيوم اللي باللقاح ووجود تعديل وراثي يعني إن مامت إما يصيبك بالعقم او يجون عيالك مرضى يبون يقللون السكان على الأرض وكل المتحورات سببها تطعيم كورونا,Against
 السلام عليكم ورحمة الله. قررت ان اخذ الجرعة الثالثة من تطعيم كورونا بمطار الملك عبدالعزيز الجنوبي. استفساري اذا احد اخذها من المطار  حديثا هل هو فايزر؟,None
 يحرمون تطعيم الاطفال عن شلل الاطفال ويقولون هدا امر الله اذا اصابهم اصابهم!!!! بس كورونا ياخذون الدواء حقه والمضادات ذولا هم طالبان🤔,None
 اذا منظمه الصحة العالمية نفسها صرحت بعدم فرض شهادة تطعيم شرطا للسفر 🙂 وكذلك وزيرنا الصحه صرح بنفس التصريح.. واللقاح تجريبي الى سنه 2023 .. منو الجهة الي حابه تعرض نفسها للمساءلة القانونية بفرض لقاح تجريبي يادكتور ؟؟؟ ,Against
